data,produto,quantidade,valor_unitario,canal,horario
2025-10-01,Açaí 300ml,12,10.00,balcao,14:00
2025-10-01,Açaí 500ml,8,15.00,balcao,15:30
2025-10-01,Bowl Frutas,5,18.00,delivery,12:00
2025-10-01,Suco Detox,3,8.00,balcao,10:00
2025-10-02,Açaí 300ml,15,10.00,balcao,13:00
2025-10-02,Açaí 500ml,10,15.00,delivery,14:00
2025-10-02,Bowl Personalizado,7,22.00,balcao,16:00
2025-10-02,Suco Natural,4,7.00,balcao,11:00
2025-10-03,Açaí 300ml,18,10.00,balcao,14:30
2025-10-03,Açaí 500ml,12,15.00,delivery,13:00
2025-10-03,Bowl Frutas,9,18.00,balcao,15:00
2025-10-03,Suco Detox,6,8.00,delivery,10:30
2025-10-03,Complemento Granola,8,3.00,balcao,14:00
2025-10-04,Açaí 300ml,20,10.00,balcao,14:00
2025-10-04,Açaí 500ml,14,15.00,delivery,16:00
2025-10-04,Bowl Personalizado,11,22.00,balcao,15:00
2025-10-04,Suco Natural,5,7.00,balcao,09:00
2025-10-04,Complemento Paçoca,6,2.50,delivery,14:30
2025-10-05,Açaí 300ml,25,10.00,delivery,13:00
2025-10-05,Açaí 500ml,18,15.00,balcao,14:00
2025-10-05,Bowl Frutas,13,18.00,balcao,16:00
2025-10-05,Bowl Personalizado,10,22.00,delivery,12:00
2025-10-05,Suco Detox,8,8.00,balcao,10:00
2025-10-06,Açaí 300ml,10,10.00,balcao,14:00
2025-10-06,Açaí 500ml,6,15.00,delivery,15:00
2025-10-06,Suco Natural,3,7.00,balcao,11:00
2025-10-07,Açaí 300ml,8,10.00,balcao,13:00
2025-10-07,Açaí 500ml,5,15.00,delivery,14:00
2025-10-07,Bowl Frutas,3,18.00,balcao,16:00
2025-11-01,Açaí 300ml,14,10.00,balcao,14:00
2025-11-01,Açaí 500ml,9,15.00,delivery,15:00
2025-11-01,Bowl Frutas,6,18.00,balcao,12:00
2025-11-02,Açaí 300ml,17,10.00,delivery,13:00
2025-11-02,Açaí 500ml,12,15.00,balcao,14:00
2025-11-02,Bowl Personalizado,8,22.00,balcao,16:00
2025-11-02,Suco Detox,5,8.00,delivery,10:00
2025-11-03,Açaí 300ml,20,10.00,balcao,14:30
2025-11-03,Açaí 500ml,15,15.00,delivery,13:00
2025-11-03,Bowl Frutas,10,18.00,balcao,15:00
2025-11-03,Suco Natural,6,7.00,balcao,11:00
2025-11-04,Açaí 300ml,13,10.00,delivery,14:00
2025-11-04,Açaí 500ml,8,15.00,balcao,15:00
2025-11-04,Bowl Personalizado,5,22.00,delivery,16:00
2025-11-05,Açaí 300ml,22,10.00,balcao,14:00
2025-11-05,Açaí 500ml,17,15.00,delivery,13:00
2025-11-05,Bowl Frutas,12,18.00,balcao,15:00
2025-11-05,Bowl Personalizado,10,22.00,delivery,16:00
2025-11-05,Suco Detox,7,8.00,balcao,10:00
2025-12-01,Açaí 300ml,22,10.00,balcao,14:00
2025-12-01,Açaí 500ml,16,15.00,delivery,13:00
2025-12-01,Bowl Frutas,12,18.00,balcao,15:00
2025-12-01,Bowl Personalizado,9,22.00,delivery,16:00
2025-12-01,Suco Detox,8,8.00,balcao,10:00
2025-12-02,Açaí 300ml,25,10.00,delivery,14:00
2025-12-02,Açaí 500ml,18,15.00,balcao,14:30
2025-12-02,Bowl Frutas,14,18.00,delivery,12:00
2025-12-02,Suco Natural,7,7.00,balcao,11:00
2025-12-03,Açaí 300ml,28,10.00,balcao,13:00
2025-12-03,Açaí 500ml,20,15.00,delivery,14:00
2025-12-03,Bowl Personalizado,15,22.00,balcao,16:00
2025-12-03,Suco Detox,10,8.00,delivery,10:00
2025-12-03,Complemento Granola,12,3.00,balcao,14:00
2025-12-04,Açaí 300ml,30,10.00,delivery,14:00
2025-12-04,Açaí 500ml,22,15.00,balcao,15:00
2025-12-04,Bowl Frutas,16,18.00,balcao,12:00
2025-12-04,Bowl Personalizado,13,22.00,delivery,16:00
2025-12-04,Suco Detox,9,8.00,balcao,10:30
2025-12-05,Açaí 300ml,32,10.00,balcao,14:00
2025-12-05,Açaí 500ml,24,15.00,delivery,13:00
2025-12-05,Bowl Frutas,18,18.00,delivery,15:00
2025-12-05,Bowl Personalizado,14,22.00,balcao,16:00
2025-12-05,Suco Natural,10,7.00,balcao,09:00
2026-01-02,Açaí 300ml,30,10.00,balcao,14:00
2026-01-02,Açaí 500ml,22,15.00,delivery,13:00
2026-01-02,Bowl Frutas,15,18.00,balcao,15:00
2026-01-02,Bowl Personalizado,12,22.00,delivery,16:00
2026-01-02,Suco Detox,9,8.00,balcao,10:00
2026-01-03,Açaí 300ml,28,10.00,delivery,14:00
2026-01-03,Açaí 500ml,20,15.00,balcao,14:30
2026-01-03,Bowl Frutas,13,18.00,delivery,12:00
2026-01-03,Suco Natural,8,7.00,balcao,11:00
2026-01-04,Açaí 300ml,26,10.00,balcao,13:00
2026-01-04,Açaí 500ml,18,15.00,delivery,14:00
2026-01-04,Bowl Personalizado,11,22.00,balcao,16:00
2026-01-04,Suco Detox,7,8.00,delivery,10:30
2026-02-01,Açaí 300ml,18,10.00,balcao,14:00
2026-02-01,Açaí 500ml,13,15.00,delivery,15:00
2026-02-01,Bowl Frutas,8,18.00,balcao,12:00
2026-02-01,Suco Detox,5,8.00,delivery,10:00
2026-02-02,Açaí 300ml,22,10.00,delivery,13:00
2026-02-02,Açaí 500ml,16,15.00,balcao,14:00
2026-02-02,Bowl Personalizado,10,22.00,balcao,16:00
